Name,Platform,Year,Genre,Publisher,Global_Sales,Total_Regional_Sales,Sales_Diff
Kid Icarus: Uprising,3DS,2012.0,Action,Nintendo,1.28,1.26,0.020000000000000018
Wet,PS3,2009.0,Shooter,Bethesda Softworks,0.63,0.61,0.020000000000000018
Need for Speed: The Run,X360,2011.0,Action,Electronic Arts,1.38,1.3599999999999999,0.020000000000000018
Call of Juarez,X360,2007.0,Shooter,Ubisoft,0.19,0.17,0.01999999999999999
Rocksmith 2014,PS3,2013.0,Misc,Ubisoft,1.0,0.9800000000000001,0.019999999999999907
Assassin's Creed II,X360,2009.0,Action,Ubisoft,5.27,5.25,0.019999999999999574
Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,23.1,23.09,0.010000000000001563
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,14.98,14.969999999999999,0.010000000000001563
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,9.88,9.87,0.010000000000001563
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,11.66,11.649999999999999,0.010000000000001563
Nintendogs,DS,2005.0,Simulation,Nintendo,24.76,24.75,0.010000000000001563
New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,28.62,28.61,0.010000000000001563
Wii Play,Wii,2006.0,Misc,Nintendo,29.02,29.009999999999998,0.010000000000001563
The Legend of Zelda,NES,1986.0,Action,Nintendo,6.51,6.499999999999999,0.010000000000000675
Super Mario World 2: Yoshi's Island,SNES,1995.0,Platform,Nintendo,4.12,4.109999999999999,0.010000000000000675
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,4.23,4.22,0.010000000000000675
The Sims: Livin Large,PC,2000.0,Misc,Electronic Arts,2.99,2.9799999999999995,0.010000000000000675
FIFA 12,X360,2011.0,Sports,Electronic Arts,4.19,4.18,0.010000000000000675
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,7.58,7.569999999999999,0.010000000000000675
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,5.29,5.279999999999999,0.010000000000000675
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,7.45,7.4399999999999995,0.010000000000000675
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,7.3,7.289999999999999,0.010000000000000675
WWE SmackDown vs. RAW 2007,PS2,2006.0,Fighting,THQ,2.58,2.5699999999999994,0.010000000000000675
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,5.99,5.9799999999999995,0.010000000000000675
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,7.07,7.06,0.010000000000000675
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,4.58,4.569999999999999,0.010000000000000675
Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,4.25,4.239999999999999,0.010000000000000675
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,4.9,4.89,0.010000000000000675
